"","DTSTART","DTEND","SUMMARY","LOCATION","UID","transparent"
"1","2023-11-23 10:00:00","2023-11-23 10:00:01","Road Freight Transport Survey -  Quarter 2 2023","CSO","ical-ba5b6d38-2d83-4aee-991b-f2c228f8cd55","TRUE"
"2","2023-11-23 10:00:00","2023-11-23 10:00:01","Labour Force Survey -  Quarter 3 2023","CSO","ical-7f703168-4f8a-4f49-ac97-15fa9082b7ce","TRUE"
"3","2023-11-23 10:00:00","2023-11-23 10:00:01","Labour Force Detailed Employment Series - PxStat Tables -  Quarter 3 2023","CSO","ical-9aef8eb4-f787-42ce-aab9-1c7687eebb82","TRUE"
"4","2023-11-23 10:00:00","2023-11-23 10:00:01","Press Statement: CSO Well-being Information Hub November 2023 -  2023","CSO","ical-311ab928-596c-4a68-8cb5-c38087d72f0c","TRUE"
"5","2023-11-24 10:00:00","2023-11-24 10:00:01","Internet Coverage and Usage in Ireland  -  2023","CSO","ical-255b09a4-38ef-4b52-bf0e-b7486712f6e5","TRUE"
"6","2023-11-24 10:00:00","2023-11-24 10:00:01","Information Note  - NNI: Ireland’s National Accounts in the Context of Globalisation 1995- -  2022","CSO","ical-4a9fb11c-be5b-440c-8f9a-785c29cdda25","TRUE"
"7","2023-11-24 10:00:00","2023-11-24 10:00:01","Wholesale Price Index -  October 2023","CSO","ical-e259b807-be0b-424f-a025-59a59adac9e3","TRUE"
"8","2023-11-27 10:00:00","2023-11-27 10:00:01","Response Burden Barometer -  2022","CSO","ical-a0132744-e459-4f6b-888d-e631423614c8","TRUE"
"9","2023-11-28 10:00:00","2023-11-28 10:00:01","Retail Sales Index -  October 2023 (Provisional) September 2023 (Final)","CSO","ical-e6569b24-e7a2-4d02-a590-e00b1f086776","TRUE"
"10","2023-11-28 10:00:00","2023-11-28 10:00:01","Earnings and Labour Costs -  Quarter 3 2023 (Provisional) Quarter 2 2023 (Final)","CSO","ical-37c8d1fc-d230-485a-bc9c-299f61f8888c","TRUE"
"11","2023-11-29 10:00:00","2023-11-29 10:00:01","Flash Estimate of Harmonised Index of Consumer Prices -  November 2023","CSO","ical-543cab68-f78d-4f20-be84-a7b9f03f4da3","TRUE"
